Designator,Mid X,Mid Y,Layer,Rotation
C1,27.781250,-82.550000,bottom,90.000000
C2,19.050000,-27.781250,bottom,180.000000
C3,20.637500,-82.550000,bottom,270.000000
C4,14.287500,-82.550000,bottom,270.000000
C5,259.556250,-19.050000,bottom,270.000000
C6,224.631250,-82.550000,bottom,90.000000
C7,238.125000,-82.550000,bottom,270.000000
C8,231.775000,-82.550000,bottom,90.000000
D1,11.906250,-82.550000,bottom,90.000000
D2,3.175000,-119.062500,bottom,90.000000
D3,3.175000,0.000000,bottom,90.000000
D4,3.175000,-19.050000,bottom,90.000000
D5,3.175000,-38.100000,bottom,90.000000
D6,3.175000,-57.150000,bottom,90.000000
D7,3.175000,-76.200000,bottom,90.000000
D8,15.875000,-100.012500,bottom,270.000000
D9,22.225000,-119.062500,bottom,90.000000
D10,22.225000,0.000000,bottom,90.000000
D11,22.225000,-19.050000,bottom,90.000000
D12,22.225000,-38.100000,bottom,90.000000
D13,22.225000,-57.150000,bottom,90.000000
D14,22.225000,-76.200000,bottom,90.000000
D15,41.275000,-119.062500,bottom,90.000000
D16,41.275000,2.381250,bottom,90.000000
D17,41.275000,-16.668750,bottom,90.000000
D18,41.275000,-35.718750,bottom,90.000000
D19,41.275000,-54.768750,bottom,90.000000
D20,41.275000,-73.818750,bottom,90.000000
D21,60.325000,4.762500,bottom,90.000000
D22,60.325000,-14.287500,bottom,90.000000
D23,60.325000,-33.337500,bottom,90.000000
D24,60.325000,-52.387500,bottom,90.000000
D25,60.325000,-71.437500,bottom,90.000000
D26,67.468750,-92.868750,bottom,90.000000
D27,79.375000,2.381250,bottom,90.000000
D28,79.375000,-16.668750,bottom,90.000000
D29,79.375000,-35.718750,bottom,90.000000
D30,79.375000,-54.768750,bottom,90.000000
D31,79.375000,-73.818750,bottom,90.000000
D32,76.993750,-116.681250,bottom,90.000000
D33,98.425000,0.000000,bottom,90.000000
D34,98.425000,-19.050000,bottom,90.000000
D35,98.425000,-38.100000,bottom,90.000000
D36,98.425000,-57.150000,bottom,90.000000
D37,98.425000,-76.200000,bottom,90.000000
D38,98.425000,-95.250000,bottom,90.000000
D39,121.443750,-103.187500,bottom,0.000000
D40,0.793750,-25.400000,bottom,90.000000
D41,95.250000,-124.618750,bottom,0.000000
D42,117.475000,-9.525000,bottom,90.000000
D43,107.156250,-37.306250,bottom,0.000000
D44,114.300000,-62.706250,bottom,0.000000
D45,114.300000,-93.662500,bottom,0.000000
D46,114.300000,-124.618750,bottom,0.000000
D47,251.618750,-25.400000,bottom,270.000000
D48,130.968750,-103.187500,bottom,180.000000
D49,141.287500,-9.525000,bottom,90.000000
D50,144.822500,-35.730000,bottom,90.000000
D51,138.112500,-49.212500,bottom,180.000000
D52,141.287500,-85.725000,bottom,90.000000
D53,217.487500,-119.062500,bottom,90.000000
D54,160.337500,0.000000,bottom,90.000000
D55,160.337500,-19.050000,bottom,90.000000
D56,160.337500,-38.100000,bottom,90.000000
D57,160.337500,-57.150000,bottom,90.000000
D58,160.337500,-76.200000,bottom,90.000000
D59,160.337500,-95.250000,bottom,90.000000
D60,240.506250,-82.550000,bottom,90.000000
D61,230.187500,-100.012500,bottom,270.000000
D62,236.537500,-119.062500,bottom,90.000000
D63,179.387500,2.381250,bottom,90.000000
D64,179.387500,-16.668750,bottom,90.000000
D65,179.387500,-35.718750,bottom,90.000000
D66,179.387500,-54.768750,bottom,90.000000
D67,179.387500,-73.818750,bottom,90.000000
D68,255.587500,-119.062500,bottom,90.000000
D69,198.437500,4.762500,bottom,90.000000
D70,198.437500,-14.287500,bottom,90.000000
D71,198.437500,-33.337500,bottom,90.000000
D72,198.437500,-52.387500,bottom,90.000000
D73,198.437500,-71.437500,bottom,90.000000
D74,196.056250,-92.868750,bottom,90.000000
D75,217.487500,2.381250,bottom,90.000000
D76,217.487500,-16.668750,bottom,90.000000
D77,217.487500,-35.718750,bottom,90.000000
D78,217.487500,-54.768750,bottom,90.000000
D79,217.487500,-73.818750,bottom,90.000000
D80,236.537500,0.000000,bottom,90.000000
D81,236.537500,-19.050000,bottom,90.000000
D82,236.537500,-38.100000,bottom,90.000000
D83,236.537500,-57.150000,bottom,90.000000
D84,236.537500,-76.200000,bottom,90.000000
D85,138.112500,-118.268750,bottom,180.000000
D86,255.587500,0.000000,bottom,90.000000
D87,243.681250,-19.843750,bottom,0.000000
D88,255.587500,-38.100000,bottom,90.000000
D89,255.587500,-57.150000,bottom,90.000000
D90,255.587500,-76.200000,bottom,90.000000
D91,157.162500,-118.268750,bottom,180.000000
D92,181.768750,-116.681250,bottom,90.000000
F1,9.525000,-66.675000,bottom,0.000000
F2,242.887500,-66.675000,bottom,0.000000
J2,19.050000,-94.456250,bottom,0.000000
J3,19.050000,-62.706250,bottom,180.000000
J4,88.106250,-81.756250,bottom,180.000000
J5,88.106250,-113.506250,bottom,0.000000
J7,233.362500,-62.706250,bottom,180.000000
J8,233.362500,-94.456250,bottom,0.000000
J9,164.306250,-113.506250,bottom,0.000000
J10,164.306250,-81.756250,bottom,180.000000
Q1,8.731250,-82.550000,bottom,270.000000
Q2,243.681250,-82.550000,bottom,270.000000
R1,9.525000,-27.781250,bottom,180.000000
R2,9.525000,-69.056250,bottom,0.000000
R3,1.587500,-82.550000,bottom,90.000000
R4,255.587500,-19.050000,bottom,270.000000
R5,9.525000,-23.018750,bottom,180.000000
R6,14.287500,-27.781250,bottom,0.000000
R7,25.400000,-82.550000,bottom,270.000000
R8,23.018750,-82.550000,bottom,90.000000
R9,117.475000,-103.187500,bottom,180.000000
R10,242.887500,-23.018750,bottom,0.000000
R11,242.887500,-27.781250,bottom,0.000000
R12,250.825000,-82.550000,bottom,90.000000
R13,227.012500,-82.550000,bottom,270.000000
R14,134.937500,-103.187500,bottom,0.000000
R15,229.393750,-82.550000,bottom,90.000000
R16,242.887500,-69.056250,bottom,0.000000
SW1,76.200000,-92.868750,bottom,180.000000
SW38,-4.762500,-83.343750,bottom,180.000000
SW47,257.175000,-83.343750,bottom,180.000000
SW66,176.212500,-92.868750,bottom,180.000000
U1,214.312500,-92.868750,bottom,0.000000
U2,17.462500,-82.550000,bottom,270.000000
U3,4.762500,-82.550000,bottom,180.000000
U4,42.862500,-92.868750,bottom,0.000000
U5,247.650000,-82.550000,bottom,0.000000
